Address,Category,Latitude,Longitude,Name,Phone,State,Township,geohash
"5/A, Mya Wutt Yee St., Ward (13),",Safety/Road Traffic Safety Product/Sailor's Equipment,16.854369,96.162288,Tha Pyay, :, :Yangon Region ," :Yankin
",w4uruhp
"10, Kaba Aye Pagoda Rd.,",Furniture Marts,16.856544,96.156528,"Cham Myae Tha Furniture Co., Ltd.","
01-545295, 01-200747Ext:5656, 09-8611042
", :Yangon Region ," :Mayangone
",w4uruhe
"Rm D-2, Bldg 28/C, Kyauk Kone St.,",Tourism Services,16.832636,96.166054,"Nice Myanmar Travels & Tours Co., Ltd.", :, :Yangon Region ," :Yankin
",w4uru23
"35/Gange, Aung Thapyay St., Bayint Naung Warehouses,",Candles [Manu/Dist],16.862767,96.102562,Shwe Tike,"
09-5148549, 09-73241712
", :Yangon Region ," :Mayangone
",w4urfvg
"26, 1st Flr, Thit Taw St.,",Advertising Agencies,16.810424,96.123317,Yaung Sin,"
09-799643421
", :Yangon Region ," :Ahlone
",w4urek4
"501-B, TCC Yeik Thar St., Ward (8),",Car & Truck Dealers & Importers,16.822543,96.131181,Lucky Auto, :, :Yangon Region ," :Kamayut
",w4urew2
"37/40, Pyin Ma Myaing St., Ward (34),",Air Conditioning Equipment Sales & Repair,16.869694,96.178387,Golden Light,"
09-260663526, 09-260663521, 09-73506528
", :Yangon Region ," :North Dagon
",w4urux4
"242, Bargayar Rd.,",Aluminium Frames & Furnitures,16.8035804,96.1391989,Aluminium Empire, :, :Yangon Region ," :Sanchaung
",w4uredy
"19 (ေအ), Airport Avenue St., 10 Mile,",Water Treatment Systems,16.897965,96.128174,Strength Company Limited., :, :Yangon Region ," :Insein
",w5h25kn
"43, 1st Flr, San Yeik Nyein 5th St.,",Language Schools [Japanese],16.830635,96.130042,Myanmar Sakura,"
09-5156804, 09-43027512, 09-777710446
", :Yangon Region ," :Kamayut
",w4urerz
"100, G Flr, 38th St., Near Asia Plaza, Upper Block,",Bedroom Accessories,16.779158,96.16279,Kyaw, :, :Yangon Region ," :Kyauktada
",w4urknx
"180/190, 136th St.,",Glue [Manu/Dist],16.789828,96.175552,Peninsula Enterprises Ltd.," :
", :Yangon Region ," :Tarmwe
",w4urs82
"96/B, Set Hmu 3rd St., Industrial Zone, Ward (8),",Car Body Workshops,16.83875,96.17381,Top Gear Auto Services,"
09-5101346, 09-790889987
", :Yangon Region ," :South Okkalapa
",w4uru3r
"457/A, Yadanar Rd.,",Decorators & Decorating Materials,16.838861,96.19138,City Depot, :, :Yangon Region ," :South Okkalapa
",w4uruck
"Rm 3B, Bldg 29, Zeyar Thiri St., Hledan,",Language Schools,16.8285657,96.1290565,KZT,"
09-448023900,  09-448023995, 09-448023996
", :Yangon Region ," :Kamayut
",w4urerx
"34, Dhamar Yone St.,",Computer Maintenance & Repair,16.810729,96.128994,Friends,"
09-5403642, 01-504375, 09-420082895
", :Yangon Region ," :Sanchaung
",w4urekq
"12/G, 54th St., Middle Block,",Press & Printers [Offset],16.774466,96.173708,Three Brothers, :, :Yangon Region ," :Pazundaung
",w4urkmx
"Rm 3B, Bldg 29, Zeyar Thiri St., Hledan,",Language Schools,16.8285657,96.1290565,KZT,"
09-448023900, 09-448023995, 09-448023996
", :Yangon Region ," :Kamayut
",w4urerx
"9/A, Bayint Naung Rd., Ward (2),",Hotels,16.833695,96.119858,Hotel V.A.N, :, :Yangon Region ," :Hlaing
",w4urg22
"28/F, Near Pin Lon Yeik Mon Housing,",Foodstuffs,16.857422,96.207414,Aurora,"
09-5504211, 09-43025004
", :Yangon Region ," :North Dagon
",w4urvkb
"Rm 3, Yankin Main Rd., B.E.H.S (1),",Car & Truck Rentals,16.829291,96.163447,AK Car Rental, :, :Yangon Region ," :Yankin
",w4ursr8
"E-1, Sagawah 1st St., FMI City,",Air Conditioning Equipment Sales & Repair,16.882422,96.056639,San Brotherhood,"
01-709373, 09-5084831, 01-3682445Ext:1421
", :Yangon Region ," :Hlaing Thar Yar
",w5h21c6
"L-9, 3rd Flr, Yuzana Plaza,",Umbrellas,16.794404,96.175524,"Yonno Trading Co., Ltd.","
01-8550194, 09-5260833, 09-5174802
", :Yangon Region ," :Mingalar Taung Nyunt
",w4urs92
"198, G Flr, 50th St.,",Furniture Marts,16.775406,96.171036,Classic Home," :
", :Yangon Region ," :Pazundaung
",w4urkmv
"21/1, Aung Thapyay St.,",Silk Wear,16.792623,96.175821,BKK,"
09-440977707, 09-456055550
", :Yangon Region ," :Mingalar Taung Nyunt
",w4urs91
"54, Phone Gyee St.,",Safe Dealers,16.776135,96.14495,Ocean Glory Limited., :, :Yangon Region ," :Lanmadaw
",w4ur7y4
"88, Bogyoke Aung San Market,",Jewellery Shops,16.779983,96.155865,Golden Rose Jewellery, :, :Yangon Region ," :Pabedan
",w4urknd
"103, 5th Flr, 50th St.,",Transportation Services,16.774472,96.170917,"Alpha Courier Co., Ltd.","
09-5121397, 01-297892
", :Yangon Region ," :Pazundaung
",w4urkmt
"26 St., Corner of 75 St.,",Language Schools,21.982508,96.092533,YMCA,"
02-2844705, 09-896504465
", :Mandalay Region ," :Chan Aye Thar Zan
",w5um49u
"20/A, G Flr, 56th St.,",Press & Printers [Offset],16.773143,96.175423,Colour House,"
09-5144254, 09-965144254
", :Yangon Region ," :Pazundaung
",w4urkt2
"B-12/13, 24 St., Corner of 81 St.,",Gas [Manu] [Industrial/Medical],21.986608,96.082592,Arkar Moe,"
02-4034380, 09-47602053
", :Mandalay Region ," :Aung Myay Thar Zan
",w5um46t
"13, Lel Yar 6th St., Near National Village, Ward (10-North),",Foodstuffs,16.805268,96.233114,Shwe Myanmar,"
01-709082, 09-975010190, 09-970955569
", :Yangon Region ," :Thaketa
",w4urtg6
"297, Ba Li Ka St., Ward (10),",Survey Companies,16.852517,96.187511,"Forward Land Survey Co., Ltd.", :, :Yangon Region ," :South Okkalapa
",w4urugc
"30-34, Yarza Di Yit Rd.,",Press & Printers [Offset],16.773716,96.162181,Master Media, :, :Yangon Region ," :Thaketa
",w4urkjx
"99/101, 2nd Flr, 37th St.,",Employment Agencies,16.770985,96.161814,Shwe Thiri Chan Thar, :, :Yangon Region ," :Kyauktada
",w4urkjn
"28 St., Corner of 58 St.,",Car Workshops,21.97734,96.119294,Pyi Kyaw,"
09-402607004, 09-797799043
", :Mandalay Region ," :Chan Aye Thar Zan
",w5um50z
"11, Strand St., Myoh Haung (Middle) Ward,",Brick/Lime/Sand/Gravel & Other Aggregates,16.786112,96.246342,U Hla+Daw Ahmar Kyi Family,"
09-5505630, 09-8614120, 09-5069769, 09-421077662
", :Yangon Region ," :Than Lyin
",w4urqpu
"691, 81 St., Between 42 St. and 43 St.,",Cheroots [Manu/Dist],21.958401,96.082752,Pauk Kyine,"
09-798744206, 09-798744207
", :Mandalay Region ," :Maha Aung Myay
",w5ukfmm
"86, Sint Oh Dan St.,",Medicine Shops,16.776954,96.149219,Kaung Sein,"
01-251292, 01-395556, 09-73015678
", :Yangon Region ," :Latha
",w4ur7yj
"78 St., Corner of 30 St.,",Hotels,21.977197,96.087124,Shwe Ingyinn Hotel,"
02-4073464, 02-4073468
", :Mandalay Region ," :Chan Aye Thar Zan
",w5um48b
"Kagyi/205, Yoe Gyi Chaung St., Bayint Naung Warehouses,",Transportation Services,16.863632,96.101012,Ayeyar-Shwe Khaing,"
09-5342671, 09-965342671, 01-683545
", :Yangon Region ," :Mayangone
",w4urfvf
"465, Kyaikkasan Rd., Tarmway Gyee (Kha) Ward,",Water Tanks,16.81355,96.173591,Lucky Fiber Glass,"
01-548194, 09-73177177
", :Yangon Region ," :Tarmwe
",w4urskz
"138, 1st Flr, 32nd St., Middle Block,",Press & Printers [Offset],16.776089,96.158129,Garzi Printing,"
09-260078080, 09-420767495, 09-420767426
", :Yangon Region ," :Pabedan
",w4urkju
"94, Myaung Ta Kar, Sethmu (2)nd St, Steel Industry Zone,",Hardware Merchants & Ironmongers,16.888341,96.159205,"Futami Mega Engineering Co., Ltd.", :, :Yangon Region ," :Hmaw Bi
",w5h2h4k
"Bet; 19 St. and 20 St. & Bet; 81 St. and 82 St., Khaut Swal Win Ah Twin,",Car Decorating Supplies & Services,21.992448,96.081985,Maung Maung Khin,"
09-43062901, 09-5188740, 09-251025105
", :Mandalay Region ," :Aung Myay Thar Zan
",w5um47s
"15, Thu Mingalar 1st St., Thu Mingalar Housing,",Water Treatment Systems,16.826943,96.187256,"Myanmar Water Engineering & Products Co., Ltd.", :, :Yangon Region ," :Thingangyun
",w4ursz3
"3, Winkabar St., Shwe Gon Daing,",Hotels,16.861889,96.159742,Rainbow Hotel, :, :Yangon Region ," :Bahan
",w4urujt
"3/4/5/6, Padonmar Pann Chan St.,",Food Stalls,16.80337,96.13729,U Kyaw,"
09-420259109, 09-425014925, 09-262064157
", :Yangon Region ," :Sanchaung
",w4uredv
"13 St., Between 81 St. and 82 St.,",Stationery,22.002672,96.083337,Myo Win (Ko),"
09-2061061, 09-91027602, 09-972061061
", :Mandalay Region ," :Aung Myay Thar Zan
",w5um4mm
"Ka/20-Kha/2 Shed, No [1] Market,",Rice Merchants,16.796005,96.196991,Pyi Kyaw,"
09-5121816, 09-799777882
", :Yangon Region ," :Thaketa
",w4urt18
"16/17, Than Chet Wun U Myue St., Industrial Zone,",Gas [Manu] [Industrial/Medical],16.912094,96.246523,Tha Bar Wa Oxygen Products Factory,"
09-252860200, 09-252860188, 09-252860199
", :Yangon Region ," :East Dagon
",w5h2nnu
"20, Kyar Kwet Thit St., Corner of Dhama Wi Ha Ra St., Kyauk Myaung,",Electrical Goods Sales,16.804366,96.177724,Nay Tagon,"
01-540284, 09-420029899
", :Yangon Region ," :Tarmwe
",w4urse4
"82, Kyee Myin Daing Kannar Rd.,",Building Materials,16.79335,96.122915,Nagar Nyi Naung,"
09-449002905, 09-787227605, 01-223684
", :Yangon Region ," :Kyeemyin Daing
",w4ure34
"317, 1st Flr, Maha Bandoola Rd., Sea Green Tower,",Inspection Services,16.774201,96.164587,Asia Pacific Inspection Agency, :, :Yangon Region ," :Botahtaung
",w4urkm8
"173, G Flr, Banyar Dala Rd., Near Mingalar Market Traffic Point,",Gold Shops/Goldsmiths,16.793757,96.174637,Star Shwe Sin,"
09-5032761, 09-5504058
", :Yangon Region ," :Tarmwe
",w4urs90
